"Bolagsnamn";"Info";"Börsvärde";"Aktiekurs";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kurs / MA";"Kurs / MA"
"";"Lista";"Senaste";"Senaste";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"MA 50d";"MA 200d"
"Lagercrantz";"Mid Cap";14916,349609375;73,4000015258789;0,0251397085189819;0,183870983123779;0,619236679077148;-0,00928622484207153;0,175862789154053
"Lammhults Design";"Small Cap";309,196807861328;36,5999984741211;-0,0187667763233185;0,0427350425720215;-0,309433994293213;0,00582599639892578;-0,00880163908004761
"Latour";"Large Cap";126908,6015625;198,5;-0,0902841281890869;0,0242517900466919;0,322451629638672;0,012641429901123;0,020305871963501
"Lindab";"Mid Cap";14220,650390625;186,300003051758;0,201935501098633;0,340287780761719;0,634210548400879;0,0316071510314941;0,268209686279297
"Loomis";"Large Cap";17223,83984375;228,800003051758;-0,0638297510147095;0,0543778944015503;-0,312499961853027;0,0446152687072754;0,0134656429290771
"Lundbergföretagen";"Large Cap";108425,6015625;437,200012207031;0,00923361003398895;0,098492488861084;0,101259479522705;-0,00570374727249146;0,00875163078308105
"Lundin Mining";"Large Cap";71498,796875;97,4000015258789;0,50192756652832;0,77899543762207;1,06006774902344;0,222773189544678;0,629130363464355
"Lundin Energy";"Large Cap";79972,953125;279,700012207031;0,325592460632324;0,328110198974609;0,0390044569969177;0,154897451400757;0,280554542541504
"Malmbergs Elektriska";"Small Cap";452,799987792969;56,5999984741211;-0,0104895508289337;-0,095846643447876;0,0599250364303589;-0,0217767357826233;-0,0362758636474609
"Medivir";"Small Cap";213,977294921875;8,8100004196167;-0,25338981628418;-0,388194389343262;-0,381320190429688;0,0186148881912231;-0,316945667266846
"Mekonomen";"Mid Cap";6412,97119140625;113,800003051758;0,231601753234863;0,205508480072021;0,499341239929199;0,14876389503479;0,321996803283691
"Mycronic";"Large Cap";21053,83984375;215,399993896484;-0,0569176912307739;0,0652818870544434;0,592017669677734;-0,0857230377197266;0,0759885311126709
"Midsona B";"Mid Cap";5518,923828125;84,9000015258789;0,248529434204102;0,257777805328369;0,907865219116211;0,0584979057312012;0,241051197052002
"Midway B";"Small Cap";406,769989013672;14,8999996185303;-0,0418006801605225;0,0205478930473328;-0,17222225189209;-0,0605888938903809;-0,0136370062828064
"Millicom";"Large Cap";32576,44921875;323,5;-0,0428994083404541;0,276134128570557;-0,265773963928223;0,0155519247055054;0,154668445587158
"Stockwik";"Small Cap";582,08447265625;119,5;0,402582206726074;0,0575221252441406;1,74082580566406;0,0849434089660645;0,453974723815918
"Amasten";"First North";3567,7548828125;8,30000019073486;0,0668380403518677;0,124661254882813;0,0668380403518677;0,0402045249938965;0,0877542495727539
"Empir Group";"Small Cap";67,8160018920898;12,25;0,0560344457626343;-0,0503875684738159;-0,0925925922393799;0,0351530313491821;0,0279432535171509
"MTG B";"Mid Cap";8161,85107421875;121,199996948242;-0,0531250238418579;0,0142259156703949;0,422869186401367;-0,135828914642334;-0,0241310596466064
"MultiQ";"Small Cap";119,566101074219;0,970000028610229;0,0997732353210449;0,112385377883911;-0,138543529510498;0,00886130332946777;0,0532259941101074
"NAXS Nordic Access";"Small Cap";591,109008789063;53;0,127659578323364;0,152173910140991;0,0816326522827148;0,0430606603622437;0,116130237579346
"NCC B";"Large Cap";15404,6201171875;142,899993896484;-0,0466978025436401;-0,0798455190658569;-0,151425180435181;-0,0324721336364746;-0,0674363994598389
"Nederman";"Mid Cap";4857,60986328125;138,5;-0,064189190864563;0,158995819091797;0,0939968490600586;0,00021660327911377;0,085487003326416
"Net Insight";"Small Cap";790,395324707031;2,06500005722046;0,263769969940186;0,0366466236114502;0,147222280502319;0,193351974487305;0,0450220108032227
"New Wave";"Mid Cap";4670,6181640625;70,4000015258789;0,385826835632324;0,478991661071777;0,340952415466309;0,178282146453857;0,524857406616211
"NIBE";"Large Cap";137344,40625;272,5;0,130705394744873;0,129299612045288;0,753539352416992;-0,0259090065956116;0,141931648254395
"Nobia";"Large Cap";10747,490234375;63,6500015258789;0,0538079452514648;0,13559326171875;0,0233119082450867;-0,0175346732139587;0,134407157897949
"Nolato";"Large Cap";20931,970703125;786;0,00383141756057739;-0,0709219837188721;0,56107250213623;-0,0217918753623962;0,0234742164611816
"Nordea Bank";"Large Cap";313438,8125;77,6800003051758;0,0439456605911255;0,114970607757568;0,0264270615577698;0,0959429740905762;0,116769905090332
"Nordnet";"Large Cap";38550;154,199996948242;0,497087364196777;3,090185546875;3,090185546875;0,0990264415740967;1,2592578125
"NOTE";"Small Cap";2167,69702148438;76,4000015258789;0,290540542602539;0,125184087753296;1,06486488342285;0,191181545257568;0,260746955871582
"Strax";"Small Cap";435,337097167969;3,60999989509583;0,0906344318389893;0,128124952316284;0,00837988018989563;-0,0652027702331543;0,0443940162658691
"Novotek";"Small Cap";477;45;0,139240503311157;0,127819509506226;0,339285774230957;-0,0129846930503845;0,18195556640625
"Oasmia Pharmaceutical";"Mid Cap";1550,46398925781;3,45799994468689;-0,135500011444092;-0,267372856140137;-0,502446022033691;-0,0801528072357178;-0,267133769989014
"Odd Molly";"Small Cap";466,290710449219;12,8599996566772;-0,251455211639404;0,0370967793464661;1,46360153198242;-0,082005615234375;0,168312911987305
"OEM";"Mid Cap";8132,31884765625;351;0,17;0,398406372070313;0,481012649536133;0,12047492980957;0,289303665161133
"Orexo";"Mid Cap";1651,42199707031;47,7000007629395;0,076749472618103;-0,0344129705429077;-0,140540523529053;-0,0139738321304321;-0,141916570663452
"Ortivus B";"Small Cap";215,332000732422;4,8600001335144;-0,0395256543159485;-0,148861627578735;0,495384674072266;-0,0438717603683472;-0,0543091297149658
"Peab";"Large Cap";30237,5;102,5;0,0956707286834717;0,215895557403564;0,0660426235198975;0,073725700378418;0,164398918151855
"Poolia";"Small Cap";387,078796386719;8,30000019073486;0,360655784606934;0,351791572570801;0,309148254394531;0,283875827789307;0,424171447753906
"Precise Biometrics";"Small Cap";453,170593261719;1,25800001621246;0,156249952316284;-0,0884057807922363;-0,0323076438903809;0,0952844619750977;0,00713324546813965
"Prevas";"Small Cap";626,323974609375;62;0,127272729873657;-0,111747894287109;0,76136360168457;-0,0585520267486572;0,113465785980225
"Pricer";"Mid Cap";3919,19995117188;35,5;-0,0431266450881958;0,283905982971191;0,574279441833496;-0,0728650093078613;0,203636646270752
"Proact IT";"Mid Cap";2960,34790039063;323,5;0,28628231048584;0,494226341247559;1,34420288085938;0,122874021530151;0,458534355163574
"Probi";"Mid Cap";5019,05712890625;440,5;0,0717761564254761;0,32282283782959;1,04883720397949;-0,0175963044166565;0,189086322784424
"ProfilGruppen";"Small Cap";628,914978027344;85;-0,0116279065608978;-0,0162037205696106;0,0265700101852417;-0,0840122127532959;-0,0130509734153748
"Ratos B";"Large Cap";14202,4599609375;44,5200004577637;0,179025497436523;0,345015182495117;0,513256301879883;0,111621618270874;0,324093589782715
"RaySearch Laboratories";"Mid Cap";3215,7451171875;93,8000030517578;0,281420860290527;0,0262582230567932;0,133534784317017;0,0761570930480957;0,0883059501647949
"Rejlers";"Mid Cap";2923,52001953125;148,5;0,116541357040405;0,03125;0,28017240524292;-0,0818029594421387;0,126976490020752
"RNB Retail and Brands";"Small Cap";72,233268737793;0,709999978542328;0,163934364318848;0,0289854788780212;-0,275510234832764;0,0950030136108398;0,065514087677002
"Rottneros";"Mid Cap";1365,51904296875;8,94999980926514;0,0654762172698975;0,120150194168091;-0,0773195886611938;0,062314510345459;0,0644370317459106
"Saab";"Large Cap";30326,05078125;228;0,0183117735385895;-0,123751001358032;-0,126771373748779;-0,0343892574310303;-0,0747035121917725
"Sagax A";"Large Cap";79169,7265625;185,5;0,189102573394775;0,315602836608887;0,325;0,0978929996490479;0,236378192901611
"Sandvik";"Large Cap";289763,1875;231;0,192258071899414;0,353251342773438;0,458333396911621;0,0771440267562866;0,256042366027832
"SAS";"Mid Cap";13878,1298828125;1,9099999666214;0,163924388885498;0,0750267028808594;-0,294942817687988;0,12226188659668;-0,0229673981666565
